season,round,circuit_id,lat,long,country,date,url
1958,10,monza,45.6156,9.28111,Italy,07/09/1958,http://en.wikipedia.org/wiki/1958_Italian_Grand_Prix
1958,11,ain-diab,33.5786,-7.6875,Morocco,19/10/1958,http://en.wikipedia.org/wiki/1958_Moroccan_Grand_Prix
1959,1,monaco,43.7347,7.42056,Monaco,10/05/1959,http://en.wikipedia.org/wiki/1959_Monaco_Grand_Prix
1959,2,indianapolis,39.795,-86.2347,USA,30/05/1959,http://en.wikipedia.org/wiki/1959_Indianapolis_500
1959,3,zandvoort,52.3888,4.54092,Netherlands,31/05/1959,http://en.wikipedia.org/wiki/1959_Dutch_Grand_Prix
1959,4,reims,49.2542,3.93083,France,05/07/1959,http://en.wikipedia.org/wiki/1959_French_Grand_Prix
1959,5,aintree,53.4769,-2.94056,UK,18/07/1959,http://en.wikipedia.org/wiki/1959_British_Grand_Prix
1959,6,avus,52.4806,13.2514,Germany,02/08/1959,http://en.wikipedia.org/wiki/1959_German_Grand_Prix
1959,7,monsanto,38.7197,-9.20306,Portugal,23/08/1959,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
1959,8,monza,45.6156,9.28111,Italy,13/09/1959,http://en.wikipedia.org/wiki/1959_Italian_Grand_Prix
1959,9,sebring,27.4547,-81.3483,USA,12/12/1959,http://en.wikipedia.org/wiki/1959_United_States_Grand_Prix
1960,1,galvez,-34.6943,-58.4593,Argentina,07/02/1960,http://en.wikipedia.org/wiki/1960_Argentine_Grand_Prix
1960,2,monaco,43.7347,7.42056,Monaco,29/05/1960,http://en.wikipedia.org/wiki/1960_Monaco_Grand_Prix
1960,3,indianapolis,39.795,-86.2347,USA,30/05/1960,http://en.wikipedia.org/wiki/1960_Indianapolis_500
1960,4,zandvoort,52.3888,4.54092,Netherlands,06/06/1960,http://en.wikipedia.org/wiki/1960_Dutch_Grand_Prix
1960,5,spa,50.4372,5.97139,Belgium,19/06/1960,http://en.wikipedia.org/wiki/1960_Belgian_Grand_Prix
1960,6,reims,49.2542,3.93083,France,03/07/1960,http://en.wikipedia.org/wiki/1960_French_Grand_Prix
1960,7,silverstone,52.0786,-1.01694,UK,16/07/1960,http://en.wikipedia.org/wiki/1960_British_Grand_Prix
1960,8,boavista,41.1705,-8.67325,Portugal,14/08/1960,http://en.wikipedia.org/wiki/1960_Portuguese_Grand_Prix
1960,9,monza,45.6156,9.28111,Italy,04/09/1960,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
1960,10,riverside,33.937,-117.273,USA,20/11/1960,http://en.wikipedia.org/wiki/1960_United_States_Grand_Prix
1961,1,monaco,43.7347,7.42056,Monaco,14/05/1961,http://en.wikipedia.org/wiki/1961_Monaco_Grand_Prix
1961,2,zandvoort,52.3888,4.54092,Netherlands,22/05/1961,http://en.wikipedia.org/wiki/1961_Dutch_Grand_Prix
